,date,ticker,weight,factor
0,2013-04-30,000270,0.0,dividend
105,2013-04-30,000660,0.0,dividend
210,2013-04-30,000720,0.0,dividend
315,2013-04-30,000810,0.0,dividend
420,2013-04-30,000880,0.0,dividend
525,2013-04-30,000990,0.0,dividend
630,2013-04-30,001450,0.14285714285714285,dividend
735,2013-04-30,001570,0.14285714285714285,dividend
840,2013-04-30,004020,0.0,dividend
945,2013-04-30,004370,0.0,dividend
1050,2013-04-30,005380,0.0,dividend
1155,2013-04-30,005490,0.14285714285714285,dividend
1260,2013-04-30,005830,0.0,dividend
1365,2013-04-30,005940,0.0,dividend
1470,2013-04-30,006260,0.0,dividend
1575,2013-04-30,006400,0.0,dividend
1680,2013-04-30,006800,0.0,dividend
1785,2013-04-30,007070,0.0,dividend
1890,2013-04-30,008770,0.0,dividend
1995,2013-04-30,009150,0.0,dividend
2100,2013-04-30,009830,0.0,dividend
2205,2013-04-30,010120,0.0,dividend
2310,2013-04-30,010130,0.0,dividend
2415,2013-04-30,010620,0.0,dividend
2520,2013-04-30,010950,0.14285714285714285,dividend
2625,2013-04-30,011070,0.0,dividend
2730,2013-04-30,011170,0.0,dividend
2835,2013-04-30,011780,0.0,dividend
2940,2013-04-30,012330,0.0,dividend
3045,2013-04-30,012450,0.0,dividend
3150,2013-04-30,015760,0.0,dividend
3255,2013-04-30,016360,0.0,dividend
3360,2013-04-30,020150,0.0,dividend
3465,2013-04-30,021240,0.0,dividend
3570,2013-04-30,024110,0.0,dividend
3675,2013-04-30,029780,0.0,dividend
3780,2013-04-30,030200,0.14285714285714285,dividend
3885,2013-04-30,032640,0.0,dividend
3990,2013-04-30,032830,0.0,dividend
4095,2013-04-30,033780,0.14285714285714285,dividend
4200,2013-04-30,034020,0.0,dividend
4305,2013-04-30,034220,0.0,dividend
4410,2013-04-30,034730,0.0,dividend
4515,2013-04-30,035250,0.14285714285714285,dividend
4620,2013-04-30,036460,0.0,dividend
4725,2013-04-30,036570,0.0,dividend
4830,2013-04-30,039490,0.0,dividend
4935,2013-04-30,047050,0.0,dividend
5040,2013-04-30,051900,0.0,dividend
5145,2013-04-30,051910,0.0,dividend
5250,2013-04-30,052690,0.0,dividend
5355,2013-04-30,055550,0.0,dividend
5460,2013-04-30,066570,0.0,dividend
5565,2013-04-30,068270,0.0,dividend
5670,2013-04-30,071050,0.0,dividend
5775,2013-04-30,078930,0.0,dividend
5880,2013-04-30,086280,0.0,dividend
5985,2013-04-30,086790,0.0,dividend
6090,2013-04-30,096770,0.0,dividend
6195,2013-04-30,097950,0.0,dividend
6300,2013-04-30,105560,0.0,dividend
6405,2013-04-30,111770,0.0,dividend
6510,2013-04-30,128940,0.0,dividend
6615,2013-04-30,138040,0.0,dividend
6720,2013-04-30,138930,0.0,dividend
6825,2013-04-30,139480,0.0,dividend
6930,2013-04-30,161390,0.0,dividend
0,2013-04-30,000270,0.0,foreign
105,2013-04-30,000660,0.0,foreign
210,2013-04-30,000720,0.0,foreign
315,2013-04-30,000810,0.0,foreign
420,2013-04-30,000880,0.0,foreign
525,2013-04-30,000990,0.0,foreign
630,2013-04-30,001450,0.0,foreign
735,2013-04-30,001570,0.0,foreign
840,2013-04-30,004020,0.0,foreign
945,2013-04-30,004370,0.0,foreign
1050,2013-04-30,005380,0.0,foreign
1155,2013-04-30,005490,0.0,foreign
1260,2013-04-30,005830,0.0,foreign
1365,2013-04-30,005940,0.0,foreign
1470,2013-04-30,006260,0.0,foreign
1575,2013-04-30,006400,0.0,foreign
1680,2013-04-30,006800,0.0,foreign
1785,2013-04-30,007070,0.0,foreign
1890,2013-04-30,008770,0.14285714285714285,foreign
1995,2013-04-30,009150,0.0,foreign
2100,2013-04-30,009830,0.0,foreign
2205,2013-04-30,010120,0.0,foreign
2310,2013-04-30,010130,0.0,foreign
2415,2013-04-30,010620,0.0,foreign
2520,2013-04-30,010950,0.0,foreign
2625,2013-04-30,011070,0.0,foreign
2730,2013-04-30,011170,0.0,foreign
2835,2013-04-30,011780,0.0,foreign
2940,2013-04-30,012330,0.0,foreign
3045,2013-04-30,012450,0.14285714285714285,foreign
3150,2013-04-30,015760,0.0,foreign
3255,2013-04-30,016360,0.0,foreign
3360,2013-04-30,020150,0.0,foreign
